Ift20	11.8102	11.1266	10.2253	10.8295	10.0472	9.4928	12.063	10.0325
Col6a1	5.2235	5.8262	5.0857	5.6186	4.1958	5.5175	4.1552	3.1932
Araf	5.4275	5.3911	4.6581	4.5721	4.0753	4.0136	4.4483	4.39
Timp1	23.3821	21.9679	24.5284	24.621	23.9822	20.7241	24.5385	21.7661
Mcm3ap	12.8685	11.9821	11.7746	11.5678	10.5415	9.8451	13.9207	13.9519
Pcnt	6.3843	5.9024	6.8805	6.9133	8.2619	8.7121	5.2093	5.1754
Gmcl1	4.7113	4.8267	4.2356	4.4064	3.4598	3.5553	5.2641	5.6272
Snrnp27	11.2944	12.1094	8.9223	8.5032	10.4812	11.0816	10.4857	9.4153
Calm1	101.7614	101.776	89.4754	91.0026	93.6796	95.112	113.3278	116.2843
Uhrf1	11.3311	11.5478	8.6163	8.7196	6.9325	6.6919	7.9529	8.2668
Dpp9	5.6687	5.1787	4.7348	4.805	4.8118	4.8419	5.6011	5.0324
Ckb	15.2254	13.7623	13.5131	14.0091	9.6914	9.6456	13.7815	12.6854
Sp1	16.7774	17.8298	22.9687	23.2907	24.0619	23.4963	15.3437	17.0778
Rarg	8.1659	9.1795	5.9311	6.0858	3.948	3.698	4.5385	5.1728
Pfdn5	11.9252	13.2833	11.9067	12.7027	10.4824	12.4836	11.1815	9.6328
Efnb2	4.9077	4.6701	9.3608	8.7795	15.2794	13.3997	5.012	5.7545
Rrp15	7.8676	7.9942	7.8094	9.6707	10.6453	11.9443	9.0399	9.3671
Hars	27.5503	25.5494	23.2786	24.8843	27.0924	27.172	33.4806	33.1535
Zmat2	33.0933	31.3935	25.6861	28.994	33.3226	32.5703	28.1344	30.1652
Ube2c	33.2121	33.0501	28.9246	25.7016	24.8248	22.45	24.9207	27.4886
Smg5	9.7064	9.3442	12.292	12.1394	14.458	14.0194	12.0937	11.4784
Cct3	18.7582	19.3078	17.8289	17.401	16.4297	16.9815	20.6151	20.4761
Glmp	15.216	15.4348	15.092	12.9948	12.6035	12.2761	15.9944	14.7515
Mef2d	7.4162	7.2849	7.4209	6.5008	8.164	8.046	5.5092	5.6467
Snd1	27.0679	26.8574	27.1782	26.0477	26.2248	24.8816	23.3713	22.3463
Col18a1	17.7014	19.6999	14.8683	15.6463	13.5219	13.2262	13.2202	14.5724
Kpnb1	115.1406	114.5264	115.6169	110.2303	141.0379	140.6197	155.3808	156.1659
Npepps	10.2488	10.1391	9.3421	8.7716	9.9939	9.8994	9.535	9.3669
Mrpl10	23.06	22.3421	20.6366	20.0957	18.1755	19.0303	22.6785	23.6734
Cyp51	7.24	7.3925	10.1839	11.3797	14.7897	16.1623	18.4027	17.2262
Tcf25	16.2715	16.5737	17.1919	17.5384	19.1525	18.1646	17.6695	17.135
Tubb6	66.1742	64.7889	61.4356	57.2413	57.0775	58.4309	69.5301	65.7303
Col1a1	58.6366	56.7291	53.7002	44.5733	40.1844	39.9353	39.1308	38.1946
Itga3	8.4014	8.3302	6.8559	7.3617	6.6081	6.6535	7.222	6.5009
Foxm1	8.3532	8.066	7.4774	8.0995	9.8651	9.2545	8.7391	8.3737
Tubb5	369.7306	364.2548	340.0454	333.9105	364.4144	356.817	370.528	369.4843
Jup	14.5267	14.0246	15.2233	14.9514	20.0202	18.6933	17.5618	15.6059
Fkbp10	8.2797	7.8831	6.9354	7.1472	7.2431	6.8743	7.9741	7.5611
Nom1	6.3311	6.2417	6.4156	7.6267	8.209	8.0989	7.2881	7.3477
Ergic1	6.0884	5.7062	5.355	5.2234	5.1862	5.153	5.1068	4.9803
