Gm2a	13.7394	16.1134	16.8253	17.9219	15.6766	15.4854	15.9376	15.1509	14.2679	14.7865	15.3145	12.9572	10.5834	10.0181	11.2025	10.9061
Hk2	30.3555	33.5919	32.2122	32.0861	23.6565	24.4942	21.9419	21.6547	23.4443	26.9987	24.9666	25.9055	19.436	17.3943	21.8038	23.2339
Rab5b	11.4351	11.6553	12.5083	12.6585	8.5227	9.7781	9.2376	9.6679	6.9507	7.5258	5.9877	6.8164	12.862	13.3163	12.6594	13.1793
Dnmt3l	7.2239	8.8143	7.8028	8.5428	9.6838	7.5436	8.5206	8.8028	9.2668	9.1	9.1124	8.0348	8.2647	8.4536	8.787	9.4457
Rpl13	75.636	78.3558	53.2096	53.5128	61.8303	57.745	54.1671	55.2749	7.718	5.9253	6.9605	5.6285	44.384	46.3906	46.9977	47.841
Chmp1a	14.1299	16.4412	14.2805	14.2773	16.4414	13.9364	14.3271	14.0804	13.4115	14.0926	13.593	12.136	14.3873	16.3885	14.5728	14.8471
Rpa1	26.7398	32.6634	31.4268	29.0554	25.3921	25.7788	25.6121	26.5037	24.9433	22.565	24.3262	25.5116	18.317	18.7647	18.9087	18.3349
Serpinf1	4.1848	5.3577	4.5766	4.8223	4.9629	5.4401	4.3674	3.8613	4.0434	4.8689	4.5346	4.4018	3.2284	3.5691	3.6454	3.4994
Polr3d	9.4318	9.0053	8.637	8.0945	14.6886	13.9451	13.9509	13.798	18.147	19.4834	16.9132	19.1337	11.5877	11.0511	9.9624	10.871
Ddx3x	87.4694	76.4226	114.3263	120.4493	123.2377	136.1738	146.0713	129.9952	150.0235	149.848	155.4564	178.3913	138.1396	136.7988	140.088	134.7886
Usp32	6.9451	6.9541	9.0007	9.2195	7.3363	8.4391	7.9168	8.533	8.5215	8.0791	8.2888	9.1594	8.6384	8.9502	8.8263	8.286
Zfp512b	7.7259	8.0443	6.8494	6.5393	6.305	5.8303	6.8539	6.0151	7.6358	7.7728	7.9188	6.5617	5.9692	5.904	5.7858	5.9128
Dnajc5	11.9669	12.7913	12.7598	12.7015	12.4944	13.4664	12.7911	13.14	16.7094	15.8032	15.4983	15.8216	14.0106	14.2644	13.7247	14.3124
Tpd52l2	5	5.7202	5.6212	5.9219	4.8876	5.1272	5.2461	4.9351	5.3489	4.6724	5.2645	4.9281	5.8233	5.7077	5.5185	5.5413
Fmr1	3.6547	2.7654	4.5573	5.136	4.217	4.4652	5.0257	3.6662	4.5371	5.1107	5.142	5.8259	6.0651	5.7751	6.1545	5.9353
Smarcb1	8.1291	8.4112	6.87	6.5345	6.6167	6.2578	6.5472	6.7472	7.174	7.1869	7.2826	6.5165	6.0153	6.0806	6.7035	6.2355
Hip1r	5.5662	5.2123	4.0985	4.4276	4.2985	4.3165	4.2242	3.8449	4.7665	5.485	5.0856	4.2857	3.6345	4.3717	4.3201	4.3529
Mmp14	15.37	14.7296	12.748	12.062	11.7398	10.6379	9.6972	10.9343	12.5569	12.4849	12.1005	13.2211	12.1427	11.9594	12.1346	12.9428
Oxa1l	11.2396	12.0053	9.5103	10.8338	10.2488	9.7413	8.4323	9.8734	10.5611	11.823	10.7778	8.8873	9.5867	9.6147	10.6782	9.1362
Ilf2	15.2631	17.226	17.4581	17.002	15.6796	16.1507	16.5648	16.8689	17.0106	17.654	16.9267	17.3902	15.6381	14.5804	16.1436	15.2411
Chtop	7.1689	6.9294	8.5063	8.3185	8.2686	8.5562	8.5286	9.3499	9.6051	9.1478	9.4999	10.0706	9.1563	8.7185	9.7909	9.2745
Snapin	4.7703	4.6963	6.1871	5.6437	4.8461	4.6894	4.8615	4.7342	4.3301	4.1896	4.0754	4.6337	5.8119	4.6168	5.3038	5.1289
S100a6	12.9462	16.7185	15.22	13.4151	13.7291	15.546	13.5037	16.9759	16.715	14.5406	15.6924	18.8456	16.8939	18.3703	19.5257	18.5228
Sec24b	12.189	11.5947	11.4386	11.0611	11.5115	11.6164	10.7619	11.3136	13.8784	14.3746	14.7127	13.6741	13.345	12.7331	12.4987	12.1055
Rmnd5b	7.3391	7.6983	6.7955	6.4209	7.3743	6.2058	6.3034	7.7087	7.5328	8.385	6.98	6.6115	8.2901	6.388	7.9357	7.1441
Nhp2	35.2143	38.6743	32.3675	30.9842	40.0466	40.1362	40.0613	34.937	45.1817	50.0194	45.466	36.4876	36.7489	37.919	40.4228	39.9868
Luzp1	11.4959	11.7386	12.0727	11.5864	13.2302	13.918	13.9737	14.6101	14.6263	12.9533	15.1631	14.2649	10.4992	10.34	10.7936	10.0349
Kctd10	15.2271	14.861	13.1504	12.5248	14.5635	15.0637	13.7006	14.2643	18.7196	17.2423	17.6257	18.4214	16.1993	16.2134	15.5904	16.5993
Poldip2	13.2437	14.8573	12.7156	13.3455	11.1025	12.1981	11.7681	10.4839	11.3401	11.3716	10.3659	10.5099	12.999	12.8741	14.4811	12.5681
Ift20	6.7879	6.2988	5.8757	6.0743	6.7219	5.5516	5.1959	5.394	6.1088	6.2811	5.4796	6.0313	6.6164	6.627	6.6364	7.0528
Col6a1	4.6229	5.351	4.0284	3.9944	4.288	4.1419	3.4737	4.1829	3.5841	4.179	4.0255	3.3497	3.0791	2.7658	3.0049	3.1707
Araf	5.5133	5.7893	5.505	5.5629	4.4782	4.4249	4.1791	4.583	5.1635	4.325	4.689	4.2285	4.3742	4.4856	4.1239	4.3234
Timp1	14.9894	15.5264	13.4753	14.3887	13.4029	13.5187	14.3918	11.5637	17.5269	14.9214	14.1267	15.8315	15.478	14.7878	15.5549	15.4599
Mcm3ap	18.5477	18.5018	16.6628	15.2119	15.4095	15.3849	14.5118	14.6884	13.8886	14.6585	15.8599	13.6933	15.9149	16.775	16.2662	16.6688
Pcnt	7.2813	6.9481	5.2242	5.465	7.404	6.5744	6.2399	6.1833	6.0563	6.9387	6.6957	5.8537	4.0644	4.1979	4.266	4.1359
Gmcl1	3.4446	3.7018	4.9155	4.6928	3.5028	3.3176	3.8797	3.7882	3.1908	3.3121	3.5863	3.8673	5.5868	4.8522	5.1141	5.2679
Snrnp27	11.8813	12.3524	11.1584	12.4802	10.8606	10.8561	10.0015	11.3075	11.558	9.4268	10.1154	11.8163	11.4885	10.9335	10.8311	9.4841
Calm1	50.1498	50.3267	59.6285	60.8688	52.6403	51.6684	55.1645	52.2041	55.1948	57.3856	52.4282	59.1225	63.2328	64.5931	63.5396	65.8275
Uhrf1	13.5762	16.3375	13.9575	14.986	12.9091	12.5598	12.9442	12.2901	10.1271	10.1751	10.2892	9.5163	9.6642	9.2311	9.6095	9.1185
Dpp9	6.7864	6.5161	5.6898	5.4862	5.4613	5.7869	5.004	5.248	5.9597	6.4963	5.9415	5.8629	5.1968	5.757	5.7206	5.9937
Ckb	21.6695	21.7866	18.5936	18.174	20.9917	19.22	18.0831	17.5803	16.1435	18.8052	15.3826	13.0957	18.1041	18.1848	19.3126	19.6547
Sp1	14.0294	14.1999	18.1132	19.0114	21.5567	22.4337	23.7016	22.736	20.9008	21.3564	22.5878	23.4077	16.1551	15.898	15.1113	15.3422
Rarg	12.3654	11.9215	10.4922	10.7914	6.341	6.0587	5.8305	4.681	4.0154	3.7081	4.0759	3.9937	5.8481	5.4843	6.8369	5.8145
Pfdn5	13.6712	14.6288	13.8411	13.824	13.9412	14.6564	14.5166	13.3457	13.8155	14.5256	13.2022	11.997	13.6809	12.1583	11.4544	12.3248
Efnb2	19.7618	16.1032	18.3468	18.1291	23.8538	26.5995	24.7784	23.8726	28.2888	29.0192	29.9885	33.983	16.4453	18.569	16.7715	18.173
Rrp15	10.2787	10.705	8.8766	10.0249	11.3886	10.6874	12.5291	10.3447	13.5924	11.4156	12.0479	11.7205	12.7928	12.0628	12.3052	11.3189
Hars	26.7052	27.9083	26.9608	26.3775	26.3116	27.226	26.5777	27.4279	31.1328	32.6686	29.7769	32.7971	32.2202	32.8358	34.6408	34.0954
Zmat2	31.5272	33.7887	33.8751	37.646	28.8321	31.7674	36.0605	29.9194	31.4626	30.4493	31.9686	31.9896	35.7612	34.4584	34.5051	32.993
Ube2c	44.2116	45.2291	41.4812	43.3864	36.2504	36.4758	39.9753	34.9148	34.3154	38.9406	35.4537	32.4094	32.0417	32.1625	35.9111	33.0978
Smg5	13.0054	14.4248	12.1703	12.0449	14.4964	13.7432	15.1935	14.1677	18.1819	17.5036	18.1245	16.2212	13.2174	12.9969	13.4554	12.6568
Cct3	23.2426	26.2534	25.6664	24.5361	26.2825	25.8649	26.2917	26.1744	27.6383	28.2029	27.7059	26.4978	27.4715	27.0101	28.2942	27.1845
Glmp	7.8575	8.4942	7.6729	7.6043	8.2729	7.4513	7.9663	7.5642	8.2176	7.9086	7.5521	7.3202	7.636	8.0795	8.34	8.5683
Mef2d	5.5131	5.8694	4.8711	5.2908	5.6976	5.7983	5.0894	4.8381	6.5642	7.1987	6.8004	5.8923	3.9305	4.0076	3.906	4.1367
Snd1	18.2797	20.8916	17.773	18.0433	19.4913	18.7159	18.2697	18.5908	18.8416	18.9879	18.97	18.4628	12.5911	14.0831	14.4444	14.172
Col18a1	87.2385	86.0152	65.7953	61.7466	63.0201	63.2592	58.0312	63.9849	61.1387	57.7311	62.6307	53.8479	45.5936	42.358	46.5137	42.923
Kpnb1	116.9374	124.6084	128.058	127.7935	121.1706	128.5392	125.9045	133.4586	149.4949	150.2938	153.0252	157.753	164.1959	162.5031	163.641	165.3866
Npepps	9.1341	9.5493	10.7053	10.4022	8.8899	8.8012	9.2267	9.3437	10.1515	9.926	9.8749	10.3009	9.8107	9.6494	9.581	9.5262
Mrpl10	26.4074	23.4955	20.737	22.2887	18.8882	18.2841	17.188	19.2855	19.5893	14.908	19.8181	17.7883	20.8657	20.6375	19.29	20.413
Cyp51	7.9162	8.4576	10.306	9.5233	12.9823	12.8964	13.2465	12.556	15.5978	15.9866	16.4416	18.1327	18.762	17.9558	17.5842	19.3862
Tcf25	15.0472	16.2216	14.8384	15.2415	16.0982	15.5091	15.9365	15.1708	18.2243	18.7372	18.3621	16.6535	14.3222	14.3387	14.7325	15.0398
Tubb6	133.14	129.917	108.0058	102.3847	139.2941	137.498	123.6134	130.6694	154.1953	154.8277	154.8529	143.2195	128.8049	130.8152	128.2589	131.0328
Col1a1	124.2079	110.8	80.9281	73.0929	69.9982	69.76	58.0081	69.0729	71.6077	83.0603	75.3153	71.2564	58.9483	63.1701	60.9924	68.0017
Itga3	16.2984	17.3842	14.5259	13.9654	14.2646	13.9046	12.9264	14.1741	14.103	13.7519	16.4006	13.7817	13.1191	12.8453	13.3491	14.2998
Foxm1	11.01	11.7547	10.1273	9.7866	10.9401	11.0072	10.6625	10.0894	13.7787	13.1377	12.8912	12.1401	9.9346	9.9016	9.6719	9.5532
Tubb5	417.127	430.8232	405.7058	414.439	431.0372	413.2067	407.2936	411.4726	454.5823	470.3876	453.429	426.6067	376.4621	370.5739	391.5574	383.7375
Jup	22.4759	20.8308	17.0277	16.6338	20.2107	19.5197	17.8205	20.5864	27.5608	27.1412	27.1029	25.7698	27.1485	29.0455	26.5793	28.9506
Fkbp10	16.9977	18.5745	16.2313	14.745	14.1019	12.6187	14.6563	15.7127	17.7805	16.1537	16.3175	17.5012	17.0015	18.044	16.9887	18.3066
Nom1	7.1438	6.7966	6.9946	6.7941	7.2528	7.8438	7.2021	7.436	8.5661	9.3788	8.3373	8.3788	8.7519	8.5391	8.9094	8.1532
